#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,user
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T09:57:39.033610497Z,-77,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T09:57:52.246623499Z,-78,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T09:57:55.502947919Z,-76,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T09:57:59.313918648Z,-76,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T09:58:09.150239834Z,-74,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T09:58:19.348686818Z,-76,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T09:58:26.355527513Z,-77,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T09:58:33.422845828Z,-76,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:04:35.162147511Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:04:41.827536739Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:04:45.027929182Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:04:51.8528599Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:04:55.464624687Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:04:59.11357495Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:02.226520475Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:05.916553594Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:08.98984659Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:16.06057151Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:19.443532793Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:22.826589865Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:26.208419194Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:32.970803982Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:36.358817739Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:40.04199282Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:46.805074367Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:50.187882859Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:05:56.949740083Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:00.331787652Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:03.451800698Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:10.474248929Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:17.237381744Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:20.520111189Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:27.68895421Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:31.073429953Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:37.83677507Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:41.218538113Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:44.596691155Z,-70,Rssi,vuoy_surroundings,1
